优先级,前置依赖编号,备注,实施阶段,所属模块,状态,需求名称,需求编号,需求说明,验收标准
P0,无,建议拆分，未承诺工期；需评审后排期。,A 接入验证,产品决策,待评审,确认首批用户和平台,D01,确认开发者场景及 macOS 首发范围,记录目标用户、设备与排除场景；负责人确认范围
P0,D01,,A 接入验证,产品决策,待评审,验证飞书身份与权限,D02,用真实租户验证承诺和反馈读取范围,形成身份、scope、历史与撤回可见性矩阵；不可见明确标识
P0,D01,,A 接入验证,产品决策,待评审,选择本地 AI 会话来源,D03,选一种真实使用且可读取的格式,样例包含 user、assistant、tool 角色和时间；记录版本限制
P0,"D02,D03",,A 接入验证,产品决策,待评审,冻结首个完成场景,D04,定义提交 PR 并反馈链接的条件边界,至少含成功、部分完成、失败、改期和取消样例
P0,D01,,A 接入验证,产品决策,待评审,确定推理及数据保留策略,D05,说明推理位置、发送范围、保留与预算,形成可展示给用户的说明；未知项有决策负责人
P0,"D04,D05",,A 接入验证,产品决策,待评审,选择模型与输出协议,D06,同集比较质量、成本、延迟和结构化输出,保存评测结果及选择理由；确定供应商适配范围
P0,无,"
2026-09-12 基建：已建立 pnpm workspace、八个包、严格 TS、边界检查与 CI 配置；本地 check 通过。CI 尚未远端运行。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",A 接入验证,桌面基础,已完成,初始化工程与包边界,E01,建立 desktop、domain、contracts、storage 等边界,最小应用可构建；领域包不依赖 Electron 或模型 SDK
P0,E01,"
2026-09-12 基建：macOS arm64 未签名 .app 已构建并启动；Electron 44.3.0 / better-sqlite3 13.0.3 / SQLite 3.53.4。x64、签名公证未验证。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",A 接入验证,桌面基础,待验收,验证 macOS 安装包,E02,验证 Electron、SQLite 驱动及目标架构,打包应用可启动并读写样本；记录 ABI 和实际 SQLite 版本
P0,E02,,B 回放闭环,桌面基础,待评审,托盘与退出行为,E03,关闭窗口继续运行；明确完全退出停止,托盘恢复窗口；退出停止采集；重启展示最后同步时间
P0,E01,"
2026-09-12 基建：sandbox/contextIsolation、最小 preload、白名单 Schema 和 sender/frame/page 检查已实现；已测 Node 不暴露、未知方法校验、外链弹窗拒绝。未覆盖全部恶意 frame 端到端场景。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,桌面基础,待验收,受控 IPC 与渲染隔离,E04,启用沙箱和上下文隔离并限制调用接口,非法 sender、未知方法和越界参数被拒绝；正文不执行脚本
P0,"E02,E04","
2026-09-12 基建：utilityProcess、超时及最多三次重启已实现，实测终止子进程后恢复并重连数据库；完整作业恢复依赖 S05。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,桌面基础,待验收,核心进程生命周期,E05,核心在 utilityProcess 运行并由宿主管理,核心崩溃后可恢复；窗口和手动查看不被耗时计算卡住
P0,E01,"
2026-09-12 基建：v1 输入 Schema 和派生类型已实现并测试；含来源、修订、时间和角色。编辑/撤回 event_type、完整 provenance 尚待补全。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,数据与作业,进行中,定义标准事件协议,S01,统一来源、外部 ID、修订、时间与角色,Schema 拒绝缺字段和非法类型；不同来源可用相同信封
P0,S01,"
2026-09-12 基建：最小事项、事件、作业和游标表已建；状态/证据/归档类型分离。完整条件、证据链接、人工决定和修订表未实现。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,数据与作业,进行中,建立事项与证据数据模型,S02,分离业务状态、收录决定、证据状态和归档,数据库约束有效；归档不修改业务完成状态
P0,"S01,S02","
2026-09-12 基建：事件/作业/游标事务实现并通过中途失败回滚测试；目前为已登记测试来源，同源串行调用。正式授权和连接器确认机制待集成。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,数据与作业,待验收,实现持久接收事务,S03,事件、作业和游标在同一事务落库,故障注入后全部提交或全部回滚；不提前确认接收
P0,S03,"
2026-09-12 基建：来源+外部 ID+修订去重，重复 10 次只有 1 事件/作业，新修订可入库；事项层幂等需随后续业务流水线验证。 详见项目 docs/engineering/基建交付记录_2026-09-12.md。",B 回放闭环,数据与作业,待验收,重复与修订去重,S04,按来源实例、事件 ID 和修订去重,同一事件重复 10 次只产生一次业务变更；编辑仍能进入处理
