需求名称,需求编号,所属模块,优先级,实施阶段,状态,需求来源,需求说明,验收标准,前置依赖编号,负责人,备注
确认首批用户和平台,D01,产品决策,P0,A 接入验证,待评审,R01,确认开发者场景及 macOS 首发范围,记录目标用户、设备与排除场景；负责人确认范围,无,,建议拆分，未承诺工期；需评审后排期。
验证飞书身份与权限,D02,产品决策,P0,A 接入验证,待评审,R01,用真实租户验证承诺和反馈读取范围,形成身份、scope、历史与撤回可见性矩阵；不可见明确标识,D01,,
选择本地 AI 会话来源,D03,产品决策,P0,A 接入验证,待评审,R01,选一种真实使用且可读取的格式,样例包含 user、assistant、tool 角色和时间；记录版本限制,D01,,
冻结首个完成场景,D04,产品决策,P0,A 接入验证,待评审,R05,定义提交 PR 并反馈链接的条件边界,至少含成功、部分完成、失败、改期和取消样例,"D02,D03",,
确定推理及数据保留策略,D05,产品决策,P0,A 接入验证,待评审,R10,说明推理位置、发送范围、保留与预算,形成可展示给用户的说明；未知项有决策负责人,D01,,
选择模型与输出协议,D06,产品决策,P0,A 接入验证,待评审,R05,同集比较质量、成本、延迟和结构化输出,保存评测结果及选择理由；确定供应商适配范围,"D04,D05",,
初始化工程与包边界,E01,桌面基础,P0,A 接入验证,待评审,技术方案,建立 desktop、domain、contracts、storage 等边界,最小应用可构建；领域包不依赖 Electron 或模型 SDK,无,,
验证 macOS 安装包,E02,桌面基础,P0,A 接入验证,待评审,技术方案,验证 Electron、SQLite 驱动及目标架构,打包应用可启动并读写样本；记录 ABI 和实际 SQLite 版本,E01,,
托盘与退出行为,E03,桌面基础,P0,B 回放闭环,待评审,R01,关闭窗口继续运行；明确完全退出停止,托盘恢复窗口；退出停止采集；重启展示最后同步时间,E02,,
受控 IPC 与渲染隔离,E04,桌面基础,P0,B 回放闭环,待评审,R10,启用沙箱和上下文隔离并限制调用接口,非法 sender、未知方法和越界参数被拒绝；正文不执行脚本,E01,,
核心进程生命周期,E05,桌面基础,P0,B 回放闭环,待评审,技术方案,核心在 utilityProcess 运行并由宿主管理,核心崩溃后可恢复；窗口和手动查看不被耗时计算卡住,"E02,E04",,
定义标准事件协议,S01,数据与作业,P0,B 回放闭环,待评审,R03,统一来源、外部 ID、修订、时间与角色,Schema 拒绝缺字段和非法类型；不同来源可用相同信封,E01,,
建立事项与证据数据模型,S02,数据与作业,P0,B 回放闭环,待评审,R04,分离业务状态、收录决定、证据状态和归档,数据库约束有效；归档不修改业务完成状态,S01,,
实现持久接收事务,S03,数据与作业,P0,B 回放闭环,待评审,R03,事件、作业和游标在同一事务落库,故障注入后全部提交或全部回滚；不提前确认接收,"S01,S02",,
重复与修订去重,S04,数据与作业,P0,B 回放闭环,待评审,R03,按来源实例、事件 ID 和修订去重,同一事件重复 10 次只产生一次业务变更；编辑仍能进入处理,S03,,
持久作业与租约恢复,S05,数据与作业,P0,B 回放闭环,待评审,R04,实现退避、重试次数、过期租约回收,进程被终止后作业可恢复；永久失败有诊断且不无限重试,"S03,E05",,
中文与混合文本候选检索,S06,数据与作业,P0,B 回放闭环,待评审,R03,项目过滤后检索分词字段及代码标识符,覆盖中文短词、英文仓库名和混合输入；记录漏召回样例,S02,,
统一时间和身份映射,S07,数据与作业,P0,B 回放闭环,待评审,R04,区分发生/接收时间，保留时区及身份命名空间,迟到消息不机械覆盖新计划；同名跨项目不自动合并,S01,,
背压和磁盘额度,S08,数据与作业,P0,C 有限自动维护,待评审,R01,限制回补、队列、单事件大小与磁盘增长,超额暂停并显示原因；恢复后可继续而不丢游标,S05,,
飞书授权和范围选择,F01,飞书接入,P0,A 接入验证,待评审,R01,呈现可读取对话范围并保存授权引用,只读取用户选择的范围；权限不足给出具体原因,"D02,E02",,
飞书历史分页导入,F02,飞书接入,P0,B 回放闭环,待评审,R01,限定时间窗分页读取并续传,中断后续传不漏页；重复页不重复建项,"F01,S03,S04",,
飞书增量与补采,F03,飞书接入,P0,B 回放闭环,待评审,R01,按可用能力轮询或接收事件并补齐间隔,断网恢复后可补采；最后成功时间准确,"F02,S05",,
飞书编辑和撤回处理,F04,飞书接入,P0,B 回放闭环,待评审,R04,将可见修订和删除转换为标准事件,受影响证据标记失效；不可见撤回能力明确披露,"F03,S01",,
本地目录授权,L01,AI 会话接入,P0,B 回放闭环,待评审,R01,用户选择会话目录并限定只读范围,越界路径和符号链接逃逸被拒绝,"D03,E04",,
会话解析与角色保留,L02,AI 会话接入,P0,B 回放闭环,待评审,R02,解析消息、工具结果与会话定位,assistant 建议与 user 承诺可区分；保留原始定位,"L01,S01",,
文件增量和轮转恢复,L03,AI 会话接入,P0,B 回放闭环,待评审,R01,处理追加、截断、轮转与格式变化,文件轮转不重复或漏掉已完整消息；未知格式可诊断,"L02,S03,S04",,
